numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
2,88.2,,,84672000,бостандыкский,,2017,2.8,True,новостройка,2 с/у и более,горное солнце,,Алматы
5,198.0,17.0,2.0,185000000,медеуский,,2006,3.2,False,хозяин недвижимости,2 с/у и более,меркур тауэрс,,Алматы
3,66.0,10.0,8.0,48000000,ауэзовский,,2022,2.8,False,крыша агент,раздельный,city plus,свежий ремонт,Алматы
1,47.0,10.0,1.0,23500000,турксибский,,2021,2.7,False,крыша агент,совмещенный,теремки,дргуой ремонт,Алматы
1,43.0,6.0,5.0,22500000,алатауский,,2023,2.8,False,крыша агент,,асыл уя,дргуой ремонт,Алматы
1,36.4,12.0,11.0,19500000,алатауский,,2017,2.7,False,крыша агент,совмещенный,алмалы,,Алматы
2,56.1,9.0,4.0,38500000,ауэзовский,,2006,,False,крыша агент,раздельный,,,Алматы
2,75.0,12.0,12.0,41999990,ауэзовский,,2014,2.7,False,крыша агент,,эдельвейс,,Алматы
3,82.0,14.0,11.0,59000000,наурызбайский,,2020,2.7,False,крыша агент,совмещенный,gulder,,Алматы
4,136.8,,,150480000,бостандыкский,,2024,3.3,True,новостройка,2 с/у и более,aspen,,Алматы
1,37.74,,,16228200,турксибский,,2024,2.8,True,новостройка,совмещенный,qazyna,,Алматы
2,69.8,,,51652000,бостандыкский,,2024,2.85,True,новостройка,2 с/у и более,riviera,,Алматы
